PMID,Title,Abstract,Topic
40870448,Barriers and Facilitators to Artificial Intelligence Implementation in Diabetes Management from Healthcare Workers' Perspective: A Scoping Review.,"Background and Objectives: Diabetes is a global public health challenge, with increasing prevalence worldwide. The implementation of artificial intelligence (AI) in the management of this condition offers potential benefits in improving healthcare outcomes. This study primarily investigates the barriers and facilitators perceived by healthcare professionals in the adoption of AI. Secondarily, by analyzing both quantitative and qualitative data collected, it aims to support the potential development of AI-based programs for diabetes management, with particular focus on a possible bottom-up approach. Materials and Methods: A scoping review was conducted following PRISMA-ScR guidelines for reporting and registered in the Open Science Framework (OSF) database. The study selection process was conducted in two phases-title/abstract screening and full-text review-independently by three researchers, with a fourth resolving conflicts. Data were extracted and assessed using Joanna Briggs Institute (JBI) tools. The included studies were synthesized narratively, combining both quantitative and qualitative analyses to ensure methodological rigor and contextual depth. Results: The adoption of AI tools in diabetes management is influenced by several barriers, including perceived unsatisfactory clinical performance, high costs, issues related to data security and decision-making transparency, as well as limited training among healthcare workers. Key facilitators include improved clinical efficiency, ease of use, time-saving, and organizational support, which contribute to broader acceptance of the technology. Conclusions: The active and continuous involvement of healthcare workers represents a valuable opportunity to develop more effective, reliable, and well-integrated AI solutions in clinical practice. Our findings emphasize the importance of a bottom-up approach and highlight how adequate training and organizational support can help overcome existing barriers, promoting sustainable and equitable innovation aligned with public health priorities.",Diabetes Management
40869603,Gender Differences in Type 1 Diabetes Management and Mental Health Burden: Findings from a National Survey in Saudi Arabia.,"Background: T1D is generally associated with increased psychological burden, but evidence from Middle Eastern populations remains scarce. The present study assessed the gender differences in management, prevalence, and risk factors of perceived depression and anxiety among people with T1D in Saudi Arabia. Methods: A cross-sectional online survey was conducted among people withT1D across Saudi Arabia to collect demographic, clinical, and diabetes management data. Perceived depression and anxiety symptoms were assessed using a validated questionnaire. Multinomial logistic regression was used to identify risk factors of severe depression and anxiety. Results: Among 1073 PwT1D (303 males and 770 females), perceived depressive and anxiety symptoms were highly prevalent. Females had higher perceived anxiety compared with males (p = 0.003). Age- and BMI-adjusted regression analysis showed that, overall, higher income (p = 0.008), no neuropathy (p = 0.002), above-average benefit from the diabetes education clinic (p = 0.02), practicing carbohydrate counting (p = 0.002), and HbA1c < 7.0% (p = 0.01) were protective against perceived severe depression. Friends with T1D as the preferred education source (odds ratio [OR] = 2.8, p = 0.04) and a rejected request for continuous glucose monitoring (CGM) (OR = 1.88, p = 0.02) or insulin pump (OR = 2.8, p = 0.001) were significant risk factors. Perceived severe anxiety was associated with insulin pump rejection (OR = 2.4, p < 0.001) and self-reading as the preferred education source (OR = 2.0, p = 0.03). Being male (p = 0.02), no neuropathy (p = 0.01), practicing carbohydrate counting (p < 0.001), and HbA1c < 7.0% (p = 0.001) were protective. Conclusions: Symptoms of depression and anxiety are highly prevalent among people with T1D in Saudi Arabia, with females and socioeconomically disadvantaged individuals at greater risk. The findings highlight an urgent need for integrated mental health support within diabetes care and improved access to resources.",Diabetes Management
40869081,Eggplant (Solanum spp.) Fruits Dietary Polyphenols Upregulate the Expression of Glucose Transporter Protein in Palmitate-Induced Diabetic Cell Line C2C12.,"Studies utilizing cell-based systems to investigate plant-based diets for diabetes management are gaining attention due to the adverse effects associated with commercially available drugs. However, the molecular mechanisms underlying the anti-diabetic effects of specific plant-derived products remain inadequately explored. The major aim of our study was to elucidate the molecular mechanisms by which bioactive compounds in the fruit of Solanum spp. influence key proteins associated with type 2 diabetes. The expressions of genes such as glucose transporter protein 4 (GLUT4), myocyte enhancer factor-2 (MEF-2A), and nuclear respiratory factor-1 (NRF-1) were investigated in a palmitate-induced C2C12 cell model of type 2 diabetes mellitus. The structures of these proteins were retrieved from the protein database, while bioactive compounds previously identified in Solanum spp. were obtained from PubChem site. Drug-likeness properties of these compounds (ligands) were assessed. The docked protein-ligand complexes were further analyzed using the Protein-Ligand Profiler web server. Our results showed that the studied compounds from Solanum spp. profoundly upregulated GLUT4 expression (9-19-fold increase) in the C2C12 cell line, thus surpassing the effects of the standard anti-diabetic drug metformin. Additionally, activities of antioxidant enzymes catalase, superoxide dismutase, and glutathione peroxidase were elevated. Molecular docking showed that rutin, an abundant flavonoid from Solanum spp., had the highest binding affinity for the active sites of the target proteins. These findings provide new mechanistic insight into the anti-diabetic effects of Solanum spp., primarily due to its high rutin content, which plays a major role in the plant's glucose-regulating and antioxidant actions. Our findings underscore the potential use of Solanum spp. as an affordable functional food for managing type 2 diabetes, especially in developing countries with limited resources for purchasing drugs. Although promising, our findings should be further validated by clinical studies.",Diabetes Management
40867383,Psychometric Properties of the Diabetes Eating Problem Survey-Revised in Arab Adolescents with Type 1 Diabetes: A Cross-Cultural Validation Study.,"The objective of this manuscript is to translate, adapt, and validate an Arabic version of the Diabetes Eating Problem Survey-Revised (DEPS-R) questionnaire to assess disordered eating behaviors (DEBs) in adolescents with T1D in Saudi Arabia. Additionally, the study sought to estimate the prevalence of DEBs and analyze its associations with glycemic control and diabetes-related complications.",Diabetes Management
40867176,Immunohistochemical Evaluation of Acetylcholinesterase-Positive Neurons in the Brain Cortex of Rats After Administration of Rebaudioside A.,"The aim of this study was to investigate the effect of Rebaudioside A (RebA) on acetylcholinesterase (AChE) immunoreactivity in cortical neurons of the rat brain. RebA is a steviol glycoside commonly used in the production of sweeteners. Beyond its application as a food additive for diabetes management, steviol glycosides have been shown to influence memory and learning processes.",Diabetes Management
40880508,"Advancing Type 1 Diabetes Management: Integrating Novel Therapies, Technologies, and Adjunctive Approaches.","In type 1 diabetes, a condition that necessitates lifelong exogenous insulin replacement, there is heavy reliance on technology-assisted insulin delivery and glucose monitoring. Yet, people living with type 1 diabetes still face dysglycemia, weight gain, vascular complications, ketoacidosis and severe hypoglycemia, and psychological distress. Cardiovascular and kidney disease remain the leading causes of morbidity and mortality, yet traditional risk factors (smoking, hypertension, hyperlipidemia, obesity, hyperglycemia) incompletely explain this excess burden. Emerging evidence highlights the role of insulin resistance, inflammation, and endothelial dysfunction exacerbated by current subcutaneous insulin therapies in type 1 diabetes, independent of overweight/obesity status. This has fueled interest in addressing metabolic challenges in type 1 diabetes through novel insulin analogs, adjunctive noninsulin therapies, and integrated technologies. Our review explores the potential synergy between technologies and adjunctive therapeutics to address unique physiologic drivers of metabolic dysfunction in type 1 diabetes. Innovations such as multihormonal systems, dynamic glucose and ketone monitoring, and automated insulin titration hold promise. However, leveraging emerging insights from nutrient-stimulated hormone-based therapies and other drug classes such as insulin-sensitizing agents and sodium-glucose cotransporter 2 inhibitors could pave the way for designing combination type 1 diabetes-specific therapies. Large, placebo-controlled trials are needed to progress the field toward use of combination therapies that reduce metabolic and vascular complications and ease patient burden in type 1 diabetes.",Diabetes Management
40866600,Diabetes trends and determinants among Thai adults from 2004 to 2020.,"The global prevalence of diabetes is increasing rapidly, with particular concern for undiagnosed, uncontrolled, and untreated diabetes. This study used data from the Thai National Health Examination Surveys in 2004, 2009, 2014, and 2020 to estimate the overall prevalence and trends of diabetes, diagnosed, treated, and controlled diabetes. We also used multivariable logistic regression models to examine the factors related to the prevalence of diabetes, as well as diagnosed, treated, and controlled diabetes, in the 2020 survey cycle. Following the global trends, age- and sex-standardized prevalence of diabetes in Thailand increased from 7.5% (95%CI: 6.5, 8.5) in 2004 to 10.1% (95%CI: 9.0, 11.1) in 2020; only 62.8% (95%CI: 59.9, 65.8) were aware of their diagnosis, 42.9% (95%CI: 39.0, 46.9) were treated, and only 20.5% (95%CI: 17.8, 23.1) had controlled blood glucose levels. Individuals in younger age groups and lower socioeconomic status were more likely to be independently associated with unawareness, untreated, and uncontrolled diabetes. These findings underscore the importance of addressing the awareness, treatment, and control gaps in diabetes management in Thai adults. Strengthening diabetes prevention and management requires a comprehensive approach for individuals, communities, and the health system, including improved screening strategies, enhanced lifestyle modification, treatment practices, multidisciplinary collaboration, and resource allocation.",Diabetes Management
40875986,The Role of Community Health Workers in Improving Diabetes Device Use Among Youth With Type 1 Diabetes: A Web-Based Qualitative Study Using Human-Centered Design With Clinicians.,"Inequity in diabetes technology use persists among Black and Hispanic youth with type 1 diabetes (T1D). Community health workers (CHWs) can address social and clinical barriers to diabetes device use. However, more information is needed on clinicians' perceptions to inform the development of a CHW model for youth with T1D.",Diabetes Management
40874479,Clinical Study of Gastrointestinal Symptoms in Patients with Diabetes Mellitus.,"Diabetes mellitus (DM) is a chronic metabolic disorder associated with numerous complications affecting multiple organ systems. Among these, gastrointestinal (GI) symptoms are commonly observed but often underdiagnosed and undertreated. Understanding the prevalence and patterns of these symptoms in diabetic individuals is crucial for optimizing clinical management.",Diabetes Management
40873447,Exploring the impact of artificial sweeteners on diabetes management and glycemic control.,"Diabetes mellitus (DM), a chronic metabolic disorder characterized by impaired glucose metabolism, has emerged as a significant global health challenge. Effective management of diabetes encompasses not only medical interventions but also lifestyle and dietary modifications. Artificial sweeteners (ASs), due to their low caloric content and minimal impact on blood glucose levels, offer promising potential as sugar substitutes for individuals aiming to manage glycemic control. Compounds such as aspartame, sucralose, and stevia mimic the sweetness of sugar without causing hyperglycemia, making them suitable for diabetic patients. This chapter explores the role of ASs in diabetes management, with a special focus on their mechanisms of action, including modulation of insulin sensitivity and glucose metabolism. An extensive review of preclinical and clinical studies evaluates the efficacy, safety, and long-term effects of ASs in glycemic control, highlighting their ability to reduce caloric intake, promote satiety, and support glycemic control and insulin sensitivity in individuals with diabetes. Emerging evidence suggests that ASs may influence gut microbiota, potentially affecting metabolic outcomes and insulin sensitivity, thus presenting opportunities for personalized interventions. Despite their benefits, awareness of potential risks, such as altered taste perception and over-reliance on ASs, is crucial. Integrating ASs within a broader lifestyle approach, comprising regular exercise and balanced nutrition, ensures optimal outcomes in diabetes management. This chapter emphasizes the importance of precision medicine in tailoring AS use to individual metabolic responses, underscoring its role as an adjunct to comprehensive diabetes care strategies.",Diabetes Management
40866169,Adherence to gout treatment guidelines in patients with diabetes: A Danish prospective cohort study with 4 years of follow-up.,"Diabetes affects about 6 % of the global population, with 20 % developing foot ulcers. Gout impacts approximately 3 %, but fewer than 40 % receive adequate urate-lowering therapy to prevent or dissolve tophi in the feet. This study assessed adherence to recommended gout treatment in patients with diabetes.",Diabetes Management
40865285,"Sennoside A from Cassia angustifolia as a mixed-type inhibitor of DPP-IV: Integrative in vitro, in silico, and kinetic characterization.","Type 2 diabetes mellitus represents a growing global health crisis, with India alone projected to surpass 124 million cases by 2040. Its multifactorial pathophysiology-including oxidative stress, insulin resistance, β-cell dysfunction, and impaired incretin signaling-is often inadequately addressed by existing therapies, which may lose efficacy and cause side effects over time. This highlights the need for safer, multi-targeted agents from natural sources. In this context, the present study explores the DPP-IV inhibitory and antioxidant potential of Cassia. angustifolia, focusing on its key constituent, sennoside A. The hydro-alcoholic extract showed notable DPP-IV inhibition (IC50 = 466.7 μg/mL), with HR-LCMS confirming abundant sennoside A, which exhibited stronger inhibition (IC50 = 138 μM) and a mixed-type kinetic profile. Molecular docking and dynamics revealed stable interactions with key DPP-IV residues (Glu205, Glu206, Tyr547, Tyr666), supported by favourable MM-GBSA energy (-36.00 ± 9.36 kcal/mol). ADMET predictions suggested good solubility and safety. Together, these findings position sennoside A as a promising natural DPP-IV inhibitor with complementary antioxidant properties for holistic type 2 diabetes management.",Diabetes Management
40863564,Behavioural Change Interventions for Preventing Periodontal Disease in Older Adults: A Literature Review.,"Periodontal disease is a common and serious oral disease among older adults. As the global older population increases, preventing periodontal disease is vital for healthy ageing. Poor oral hygiene, uncontrolled diabetes, and smoking are key risk factors of periodontal disease. Improving oral hygiene, diabetes management, and quitting smoking are essential health behavioural change interventions to manage periodontal disease. The objective of this study is to review the prevention of periodontal disease among older adults through health behavioural change interventions. Effective strategies to improve oral hygiene include personalised education on proper brushing and interdental cleaning. Educating caregivers is equally important as they supervise care-dependent older adults to maintain oral health. For those with diabetes, physical activity improves glycated haemoglobin levels and clinical periodontal parameters by reducing reactive oxygen species and systemic inflammation. Smoking cessation could be achieved through a multi-faceted approach. Effective smoking cessation combines brief interventions with intensive behavioural/pharmacological support for long-term success, especially in highly dependent individuals. Tailored strategies for older adults, integrated care, and expanded research improve outcomes and health equity in ageing populations. In conclusion, health behavioural change interventions are non-invasive preventive measures that include oral hygiene reinforcement, diabetic management, and smoking cessation. Prioritising these interventions empowers older adults to maintain oral health, reducing disease burden and enhancing overall well-being for healthy ageing.",Diabetes Management
40854092,Assessing the Clinical Feasibility of the DiaFocus System for Integrated Personalized Management of Type 2 Diabetes: 6-Month Pilot Cohort Study.,"Type 2 diabetes (T2D) is a complex, chronic condition that requires ongoing management. An important aspect of effective diabetes management is shared decision-making between the person with diabetes and the health care professionals (HCPs) to tailor individual treatment plans. Personal health technologies can play a crucial role in this collaborative effort by providing tools for monitoring, communication, and education.",Diabetes Management
40862253,Enhancing diabetes self-management and reducing stress through food skills education with medically under-insured individuals with type-2 diabetes.,"Diabetes self-management education supports healthy dietary behaviors but often lacks food skill-building education to plan, budget for, select, and prepare (cook) healthier food.",Diabetes Management
40861278,"Diabetes management: Self-management education and support program evaluations in Jeddah, KSA.","Education and self-management are critical for effective diabetes management. Diabetes self-management education and support facilitate learning of necessary knowledge and skills, by incorporating patient needs and evidence-based standards to improve outcomes. However, adherence to self-management is challenging because of insufficient education. This study assessed self-care management, a standard of care for patients with diabetes mellitus, in Jeddah, KSA.",Diabetes Management
40860544,Impact of nurse-led self-management education on type 2 diabetes: a meta-analysis.,"Diabetes Self-Management Education (DSME) is a cornerstone strategy for improving glycemic control, yet its clinical effectiveness is often limited by suboptimal adherence. The aim of this study is to evaluate through meta-analysis the impact of nurse-led DSME on glycemic control, lipid profiles, and self-efficacy in adults with type 2 diabetes mellitus (T2DM).",Diabetes Management
40859993,The Impact of Intercostal Stretch Technique and Aerobic Dance on Cardiorespiratory Fitness in Type 2 Diabetes Mellitus Patients.,"Type 2 diabetes mellitus (T2DM) is associated with reduced cardiopulmonary function, decreased aerobic capacity, and increased respiratory complications. Effective non-pharmacological interventions are essential to improve exercise tolerance and overall health in diabetic individuals.",Diabetes Management
40859782,Diabetes Mellitus and Infectious Diseases: Current Evidence and Clinical Implications.,"Diabetes mellitus predisposes individuals to a broad spectrum of infections. People with diabetes face a 1.5- to 4-fold increased risk of both common and severe infections, and infections remain the leading cause of morbidity and mortality. Chronic hyperglycemia impairs neutrophil chemotaxis, oxidative burst, and complement activation, while vascular insufficiency and neuropathy compromise tissue perfusion and barrier integrity. These defects, together with altered skin, mucosal, and gut microbiota, influence the marked susceptibility to urinary tract infections (especially renal abscess and emphysematous pyelonephritis), osteomyelitis, diabetic foot infections, pneumonia (including influenza), tuberculosis, skin and soft tissue infections, and lifethreatening syndromes such as emphysematous cholecystitis and rhino-orbital mucormycosis that are almost exclusive to people with diabetes. Outcomes from infections are worse in diabetes. Although the core therapeutic principles align with those for patients without diabetes, management should be individualized. Glycemic control should balance infection risk and hypoglycemia; antimicrobial dosing should account for renal function and drug interactions; and strict antimicrobial stewardship is required. If needed, prompt debridement and multidisciplinary intervention are necessary to mitigate complications and reduce mortality. Preventive care relies on comprehensive vaccination (influenza, pneumococcus, severe acute respiratory syndrome coronavirus 2 [SARS-CoV-2], hepatitis B, herpes zoster, and Tdap/Td) and regular foot surveillance with offloading to avert ulceration.",Diabetes Management
40858920,Validation of a predictive calculator for optimal glycemic control and time-in-tight-range following CGM sensor placement in type 1 diabetes and pancreatic diabetes: a prospective study.,"Continuous glucose monitoring (CGM) has improved diabetes management, yet not all patients benefit equally. We previously developed a predictive calculator using clinical and socioeconomic variables to estimate the likelihood of achieving optimal control after CGM initiation. This study prospectively validated the calculator in a real-world cohort.",Diabetes Management
